"Seguidores de Instagram por principales ciudades"
"Principales ciudades","Valor"
"Zapopan, Jalisco, M<U+00E9>xico","22,4%"
"Ciudad de M<U+00E9>xico, M<U+00E9>xico","5,3%"
"Guadalajara, Jalisco, M<U+00E9>xico","5,1%"
"Tlajomulco de Z<U+00FA><U+00F1>iga, Jalisco, M<U+00E9>xico","1,9%"
"Nuevo M<U+00E9>xico, Jalisco, M<U+00E9>xico","1,8%"
"Tlaquepaque, Jalisco, M<U+00E9>xico","1,3%"
"Santiago de Chile, Chile","1,1%"
"Monterrey, Nuevo Le<U+00F3>n, M<U+00E9>xico","0,9%"
"Bogot<U+00E1>, Colombia","0,9%"
"Ciudad Ju<U+00E1>rez, M<U+00E9>xico","0,9%"
