fecha,alcance,views,profile_views,followers,interactions,link_clicks
2024-01-01,0,0,0,0,0,0
2024-01-02,0,0,0,0,0,0
2024-01-03,0,0,0,0,0,0
2024-01-04,0,0,0,0,0,0
2024-01-05,0,0,0,0,0,0
2024-01-06,0,0,0,0,0,0
2024-01-07,0,0,0,0,0,0
2024-01-08,0,0,0,0,0,0
2024-01-09,0,0,0,0,0,0
2024-01-10,0,0,0,0,0,0
2024-01-11,0,0,0,0,0,0
2024-01-12,0,0,0,0,0,0
2024-01-13,0,0,0,0,0,0
2024-01-14,0,0,0,0,0,0
2024-01-15,0,0,0,0,0,0
2024-01-16,0,0,0,0,0,0
2024-01-17,0,0,0,0,0,0
2024-01-18,0,0,0,0,0,0
2024-01-19,0,0,0,0,0,0
2024-01-20,0,0,0,0,0,0
2024-01-21,0,0,0,0,0,0
2024-01-22,0,0,0,0,0,0
2024-01-23,0,0,0,0,0,0
2024-01-24,0,0,0,0,0,0
2024-01-25,0,0,0,0,0,0
2024-01-26,0,0,0,0,0,0
2024-01-27,0,0,0,0,0,0
2024-01-28,0,0,0,0,0,0
2024-01-29,0,0,0,0,0,0
2024-01-30,0,0,0,0,0,0
2024-01-31,0,0,0,0,0,0
2024-02-01,0,0,0,0,0,0
2024-02-02,0,0,0,0,0,0
2024-02-03,0,0,0,0,0,0
2024-02-04,0,0,0,0,0,0
2024-02-05,0,0,0,0,0,0
2024-02-06,0,0,0,0,0,0
2024-02-07,0,0,0,0,0,0
2024-02-08,0,0,0,0,0,0
2024-02-09,0,0,0,0,0,0
2024-02-10,0,0,0,0,0,0
2024-02-11,0,0,0,0,0,0
2024-02-12,0,0,0,0,0,0
2024-02-13,0,0,0,0,0,0
2024-02-14,0,0,0,0,0,0
2024-02-15,0,0,0,0,0,0
2024-02-16,0,0,0,0,0,0
2024-02-17,0,0,0,0,0,0
2024-02-18,0,0,0,0,0,0
2024-02-19,0,0,0,0,0,0
2024-02-20,0,0,0,0,0,0
2024-02-21,0,0,0,0,0,0
2024-02-22,0,0,0,0,0,0
2024-02-23,0,0,0,0,0,0
2024-02-24,0,0,0,0,0,0
2024-02-25,0,0,0,0,0,0
2024-02-26,273,0,18,0,0,0
2024-02-27,72,0,6,0,0,0
2024-02-28,1410,0,62,0,0,14
2024-02-29,3834,0,71,0,0,41
2024-03-01,125,0,11,0,0,0
2024-03-02,116,0,11,0,0,0
2024-03-03,37,0,13,0,0,0
2024-03-04,20,0,15,0,0,0
2024-03-05,16,0,9,0,0,0
2024-03-06,59,0,72,0,0,0
2024-03-07,531,0,38,0,0,0
2024-03-08,32,0,12,0,0,0
2024-03-09,4,0,11,0,0,0
2024-03-10,9,0,14,0,0,0
2024-03-11,14,0,23,0,0,0
2024-03-12,12,0,17,0,0,0
2024-03-13,7,0,13,0,0,0
2024-03-14,7,0,11,0,0,0
2024-03-15,6,0,9,0,0,0
2024-03-16,5,0,17,0,0,0
2024-03-17,79,0,8,0,0,0
2024-03-18,9,0,17,0,0,0
2024-03-19,3,0,11,0,0,0
2024-03-20,751,0,42,0,0,0
2024-03-21,39,0,13,0,0,0
2024-03-22,7,0,13,0,0,0
2024-03-23,5,0,15,0,0,0
2024-03-24,7,0,17,0,0,0
2024-03-25,11,0,16,0,0,0
2024-03-26,7,0,12,0,0,0
2024-03-27,18,0,25,0,0,0
2024-03-28,6,0,12,0,0,0
2024-03-29,4,0,14,0,0,0
2024-03-30,7,0,16,0,0,0
2024-03-31,5,0,10,0,0,0
2024-04-01,7,0,21,0,0,0
2024-04-02,9,0,28,0,0,0
2024-04-03,6,0,18,0,0,0
2024-04-04,6,0,11,0,0,0
2024-04-05,5,0,11,0,0,0
2024-04-06,1,0,11,0,0,0
2024-04-07,6,0,9,0,0,0
2024-04-08,7,0,15,0,0,0
2024-04-09,4,0,8,0,0,0
2024-04-10,6,0,11,0,0,0
2024-04-11,5,0,10,0,0,0
2024-04-12,539,0,83,0,0,0
2024-04-13,128,0,19,0,0,0
2024-04-14,551,0,73,0,0,0
2024-04-15,291,0,42,0,0,0
2024-04-16,6,0,13,0,0,0
2024-04-17,2,0,7,0,0,0
2024-04-18,4,0,13,0,0,0
2024-04-19,7,0,11,0,0,0
2024-04-20,1,0,7,0,0,0
2024-04-21,76,0,17,0,0,0
2024-04-22,909,0,51,0,0,0
2024-04-23,987,0,61,0,0,0
2024-04-24,473,0,47,0,0,0
2024-04-25,756,0,40,0,0,0
2024-04-26,441,0,20,0,0,0
2024-04-27,96,0,15,0,0,0
2024-04-28,503,0,57,0,0,0
2024-04-29,1209,0,105,0,0,0
2024-04-30,675,0,36,0,0,0
2024-05-01,163,0,23,0,0,0
2024-05-02,634,0,57,0,0,0
2024-05-03,638,0,35,0,0,0
2024-05-04,290,0,25,0,0,0
2024-05-05,44,0,25,0,0,0
2024-05-06,28,0,33,0,0,0
2024-05-07,428,0,35,0,0,0
2024-05-08,803,0,56,0,0,0
2024-05-09,205,0,33,0,0,0
2024-05-10,372,0,23,0,0,0
2024-05-11,144,0,12,0,0,0
2024-05-12,26,0,22,0,0,0
2024-05-13,751,0,48,0,0,0
2024-05-14,179,0,28,0,0,0
2024-05-15,1597,0,63,0,0,0
2024-05-16,1001,0,155,0,0,0
2024-05-17,1686,0,167,0,0,0
2024-05-18,645,0,72,0,0,0
2024-05-19,1615,0,72,0,0,0
2024-05-20,183,0,45,0,0,0
2024-05-21,160,0,50,0,0,0
2024-05-22,127,0,27,0,0,0
2024-05-23,743,0,93,0,0,0
2024-05-24,387,0,35,0,0,0
2024-05-25,110,0,18,0,0,0
2024-05-26,40,0,15,0,0,0
2024-05-27,693,0,64,0,0,0
2024-05-28,284,0,38,0,0,0
2024-05-29,733,0,72,0,0,0
2024-05-30,429,0,30,0,0,0
2024-05-31,7697,0,80,0,0,0
2024-06-01,690,0,40,0,0,0
2024-06-02,795,0,47,0,0,0
2024-06-03,167,0,26,0,0,0
2024-06-04,38,0,20,0,0,0
2024-06-05,322,0,41,0,0,0
2024-06-06,819,0,113,0,0,0
2024-06-07,613,0,36,0,0,0
2024-06-08,527,0,32,0,0,0
2024-06-09,257,0,32,0,0,0
2024-06-10,335,0,32,0,0,0
2024-06-11,384,0,54,0,0,0
2024-06-12,22,0,24,0,0,0
2024-06-13,27,0,18,0,0,0
2024-06-14,16,0,16,0,0,0
2024-06-15,649,0,88,0,0,0
2024-06-16,469,0,190,0,0,0
2024-06-17,480,0,31,0,0,0
2024-06-18,157,0,14,0,0,0
2024-06-19,15,0,18,0,0,0
2024-06-20,6,0,8,0,0,0
2024-06-21,8,0,13,0,0,0
2024-06-22,431,0,30,0,0,0
2024-06-23,335,0,42,0,0,0
2024-06-24,373,0,21,0,0,0
2024-06-25,7,0,15,0,0,0
2024-06-26,418,0,16,0,0,0
2024-06-27,350,0,21,0,0,0
2024-06-28,300,0,29,0,0,0
2024-06-29,478,0,75,0,0,0
2024-06-30,441,0,40,0,0,0
2024-07-01,531,0,50,0,0,0
2024-07-02,398,0,36,0,0,0
2024-07-03,492,0,41,0,0,0
2024-07-04,168,0,14,0,0,0
2024-07-05,349,0,42,0,0,0
2024-07-06,525,0,57,0,0,0
2024-07-07,184,0,33,0,0,0
2024-07-08,180,0,38,0,0,0
2024-07-09,630,0,62,0,0,0
2024-07-10,227,0,35,0,0,0
2024-07-11,168,0,35,0,0,0
2024-07-12,67,0,32,0,0,0
2024-07-13,247,0,76,0,0,0
2024-07-14,490,0,129,0,0,0
2024-07-15,144,0,46,0,0,0
2024-07-16,565,0,117,0,0,0
2024-07-17,499,0,73,0,0,0
2024-07-18,211,0,36,0,0,0
2024-07-19,55,0,35,0,0,0
2024-07-20,48,0,34,0,0,0
2024-07-21,46,0,25,0,0,0
2024-07-22,733,0,60,0,0,0
2024-07-23,457,0,64,0,0,0
2024-07-24,444,0,33,0,0,0
2024-07-25,216,0,22,0,0,0
2024-07-26,483,0,38,0,0,0
2024-07-27,87,0,20,0,0,0
2024-07-28,434,0,25,0,0,0
2024-07-29,143,0,29,0,0,0
2024-07-30,192,0,31,0,0,0
2024-07-31,214,0,14,0,0,0
2024-08-01,12,0,11,0,0,0
2024-08-02,7,0,5,0,0,0
2024-08-03,724,0,39,0,0,0
2024-08-04,307,0,26,0,0,0
2024-08-05,69,0,30,0,0,0
2024-08-06,48,0,21,0,0,0
2024-08-07,28,0,16,0,0,0
2024-08-08,27,0,20,0,0,0
2024-08-09,20,0,13,0,0,0
2024-08-10,13,0,13,0,0,0
2024-08-11,11,0,10,0,0,0
2024-08-12,542,0,27,0,0,0
2024-08-13,91,0,24,0,0,0
2024-08-14,406,0,35,0,0,0
2024-08-15,338,0,19,0,0,0
2024-08-16,6,0,4,0,0,0
2024-08-17,5,0,5,0,0,0
2024-08-18,5,0,10,0,0,0
2024-08-19,14,0,21,0,0,0
2024-08-20,1432,0,59,0,0,28
2024-08-21,363,0,23,0,0,3
2024-08-22,11,0,16,0,0,0
2024-08-23,8,0,13,0,0,0
2024-08-24,94,0,15,0,0,0
2024-08-25,7,0,13,0,0,0
2024-08-26,9,0,11,0,0,0
