date,listeners,monthly_listeners,monthly_active_listeners,super_listeners,streams,playlist_adds,saves,followers
2024-01-01,4,120,100,7,4,0,0,145
2024-01-02,7,117,96,7,31,0,0,145
2024-01-03,12,112,88,7,28,0,1,145
2024-01-04,10,108,84,6,72,0,0,146
2024-01-05,20,118,91,5,49,2,1,146
2024-01-06,15,118,87,5,22,0,0,146
2024-01-07,8,116,86,5,19,0,0,146
2024-01-08,434,544,88,4,517,0,64,195
2024-01-09,8,541,87,4,29,0,0,195
2024-01-10,15,551,86,4,17,0,0,195
2024-01-11,21,557,88,5,35,0,0,196
2024-01-12,16,563,91,5,28,0,1,196
2024-01-13,13,565,88,5,17,0,0,196
2024-01-14,18,575,88,5,24,0,2,196
2024-01-15,26,589,90,5,28,1,0,196
2024-01-16,18,597,91,5,63,1,1,196
2024-01-17,10,600,89,4,32,0,0,196
2024-01-18,12,605,90,4,32,0,0,196
2024-01-19,17,611,91,4,59,0,0,196
2024-01-20,20,617,94,4,34,0,0,196
2024-01-21,12,619,93,4,66,0,0,197
2024-01-22,29,638,97,3,88,2,0,197
2024-01-23,99,729,100,3,158,3,1,197
2024-01-24,49,767,101,3,104,1,0,200
2024-01-25,16,777,103,3,76,1,0,200
2024-01-26,15,786,102,3,67,0,0,200
2024-01-27,11,788,103,3,63,0,1,200
2024-01-28,13,798,108,3,73,0,0,200
2024-01-29,13,804,110,3,67,0,0,200
2024-01-30,15,806,112,3,76,1,0,200
2024-01-31,23,815,109,3,80,0,0,200
2024-02-01,16,819,109,5,54,1,0,200
2024-02-02,28,823,104,6,71,0,1,201
2024-02-03,18,832,108,6,28,0,2,203
2024-02-04,19,837,104,7,33,0,1,203
2024-02-05,13,415,106,6,17,0,0,203
2024-02-06,16,426,108,6,30,0,3,203
2024-02-07,19,428,109,6,28,0,0,203
2024-02-08,27,437,112,6,79,0,0,203
2024-02-09,268,669,321,7,545,18,99,271
2024-02-10,259,859,491,9,493,9,28,304
2024-02-11,87,905,538,11,179,4,6,309
2024-02-12,106,960,577,11,211,2,11,315
2024-02-13,127,1051,603,15,223,2,3,316
2024-02-14,64,1084,620,15,154,1,1,317
2024-02-15,53,1107,629,15,134,0,1,318
2024-02-16,288,1358,646,15,403,20,11,324
2024-02-17,168,1462,651,15,276,6,6,325
2024-02-18,269,1672,660,16,390,9,8,326
2024-02-19,181,1792,683,16,282,9,12,330
2024-02-20,143,1793,712,18,245,8,6,331
2024-02-21,130,1835,732,19,209,5,5,335
2024-02-22,121,1884,746,20,223,9,9,338
2024-02-23,102,1936,753,20,204,9,4,338
2024-02-24,59,1957,760,21,144,9,2,338
2024-02-25,53,1976,760,21,117,4,0,338
2024-02-26,57,1997,761,24,132,0,1,338
2024-02-27,50,2014,758,24,114,0,0,338
2024-02-28,57,2025,766,23,138,3,1,338
2024-02-29,46,2033,771,23,114,0,2,339
2024-03-01,33,2029,771,23,103,1,2,339
2024-03-02,39,2027,772,23,124,0,0,340
2024-03-03,40,2032,775,23,100,3,1,340
2024-03-04,55,2052,779,22,124,2,1,340
2024-03-05,95,2112,781,21,158,2,0,340
2024-03-06,86,2117,790,21,164,1,1,340
2024-03-07,111,2126,804,21,168,1,0,340
2024-03-08,94,1971,660,21,156,4,2,340
2024-03-09,62,1801,507,21,140,1,2,340
2024-03-10,28,1754,460,22,89,0,0,340
2024-03-11,23,1693,419,20,84,1,0,340
2024-03-12,21,1602,396,20,75,1,0,340
2024-03-13,32,1571,378,21,97,0,0,341
2024-03-14,35,1553,370,19,102,2,0,341
2024-03-15,25,1355,355,19,91,1,1,341
2024-03-16,24,1246,347,17,97,0,0,341
2024-03-17,21,1044,339,16,76,0,1,341
2024-03-18,29,913,323,17,87,1,0,341
2024-03-19,27,827,295,15,81,0,0,341
2024-03-20,28,751,276,14,86,2,0,342
2024-03-21,21,672,263,14,82,0,0,342
2024-03-22,22,615,258,14,84,2,0,342
2024-03-23,20,594,249,14,78,0,1,342
2024-03-24,26,574,241,12,87,0,0,343
2024-03-25,26,546,238,12,92,0,0,302
2024-03-26,20,528,239,12,86,0,0,302
2024-03-27,23,504,231,11,76,1,0,302
2024-03-28,20,484,223,12,27,0,1,302
2024-03-29,20,483,224,11,24,0,1,302
2024-03-30,17,477,221,11,20,2,2,302
2024-03-31,13,465,218,11,17,1,0,302
2024-04-01,26,460,213,11,32,1,1,302
2024-04-02,29,460,215,11,42,0,1,301
2024-04-03,25,451,204,10,49,0,0,301
2024-04-04,20,411,190,10,25,0,0,301
2024-04-05,22,351,179,10,39,0,0,302
2024-04-06,25,319,159,12,36,1,0,300
2024-04-07,18,316,152,12,28,1,0,300
2024-04-08,44,341,153,12,50,0,1,300
2024-04-09,30,350,152,12,31,0,1,300
2024-04-10,24,352,151,11,34,1,2,301
2024-04-11,20,343,146,11,25,0,0,301
2024-04-12,22,344,141,11,38,2,0,301
2024-04-13,27,356,144,10,86,6,0,301
2024-04-14,18,354,144,11,74,0,0,300
2024-04-15,34,366,146,10,95,2,0,300
2024-04-16,36,374,148,10,93,0,1,300
2024-04-17,37,393,150,10,93,1,0,300
2024-04-18,23,386,149,9,88,0,1,299
2024-04-19,17,386,146,9,82,0,1,299
2024-04-20,19,383,146,9,82,0,1,299
2024-04-21,15,380,149,9,77,0,0,298
2024-04-22,35,385,146,9,97,0,1,298
2024-04-23,46,410,145,7,117,0,0,298
2024-04-24,33,419,150,7,91,0,1,298
2024-04-25,21,422,152,8,83,0,0,298
2024-04-26,18,412,145,8,76,0,0,298
2024-04-27,15,410,146,8,71,0,0,299
2024-04-28,14,411,145,8,68,0,0,299
2024-04-29,21,409,146,10,84,0,3,299
2024-04-30,139,518,146,9,208,1,0,299
2024-05-01,41,537,145,9,97,0,0,299
2024-05-02,36,544,146,9,98,0,0,299
2024-05-03,19,536,143,9,85,1,0,298
2024-05-04,15,532,140,9,69,1,0,298
2024-05-05,20,534,147,9,96,1,0,298
2024-05-06,14,505,146,9,69,1,1,298
2024-05-07,17,496,147,9,77,0,0,298
2024-05-08,12,487,144,9,64,0,0,298
2024-05-09,16,484,145,9,70,0,0,298
2024-05-10,19,481,144,9,73,0,0,298
2024-05-11,13,471,141,9,58,0,0,298
2024-05-12,6,465,137,9,54,0,0,298
2024-05-13,45,480,133,8,96,0,1,298
2024-05-14,9,463,130,9,70,0,0,298
2024-05-15,22,444,131,9,77,1,0,298
2024-05-16,12,443,129,9,63,0,0,298
2024-05-17,18,447,132,9,68,0,0,298
2024-05-18,15,448,132,9,64,0,0,298
2024-05-19,12,448,131,8,62,0,0,298
2024-05-20,15,437,131,8,61,0,1,298
2024-05-21,24,419,130,8,76,1,0,298
2024-05-22,13,402,123,9,26,1,0,298
2024-05-23,14,402,122,9,28,0,0,299
2024-05-24,14,399,124,10,30,0,0,300
2024-05-25,15,401,120,9,25,0,0,300
2024-05-26,26,413,120,9,30,0,1,300
2024-05-27,19,420,117,9,22,1,0,300
2024-05-28,12,311,116,8,12,0,1,300
2024-05-29,42,319,117,10,52,3,1,300
2024-05-30,28,319,116,9,35,0,0,301
2024-05-31,16,316,116,9,24,0,0,301
2024-06-01,19,321,115,9,27,0,0,301
2024-06-02,6,311,108,9,12,0,0,301
2024-06-03,7,312,107,8,8,0,0,301
2024-06-04,807,1108,339,8,1610,0,99,332
2024-06-05,15,1111,343,8,24,0,0,332
2024-06-06,13,1111,341,8,19,0,0,332
2024-06-07,16,1109,339,8,22,0,0,331
2024-06-08,7,1109,340,8,18,1,1,331
2024-06-09,13,1113,343,8,26,0,0,331
2024-06-10,12,1080,342,9,12,0,0,331
2024-06-11,9,1084,345,8,13,1,0,331
2024-06-12,32,1101,349,6,52,0,1,331
2024-06-13,12,1105,349,7,12,0,1,331
2024-06-14,14,1100,347,6,17,0,0,331
2024-06-15,13,1098,347,6,18,0,0,330
2024-06-16,15,1102,352,7,29,1,0,331
2024-06-17,22,1106,355,7,23,1,0,331
2024-06-18,17,1096,354,6,23,0,1,331
2024-06-19,25,1104,356,6,40,1,0,331
2024-06-20,11,1100,355,6,18,0,0,331
2024-06-21,10,1096,352,5,15,0,0,331
2024-06-22,9,1094,356,5,18,2,0,331
2024-06-23,9,1084,355,6,20,0,0,331
2024-06-24,17,1077,356,6,30,0,0,331
2024-06-25,14,1080,363,6,39,0,0,331
2024-06-26,10,1052,363,6,28,0,0,332
2024-06-27,13,1039,362,6,34,0,0,331
2024-06-28,4,1032,357,6,16,0,0,331
2024-06-29,12,1025,357,6,32,2,0,331
2024-06-30,14,1032,359,6,29,0,0,331
2024-07-01,12,1032,362,7,30,0,0,331
2024-07-02,10,235,130,7,23,0,0,331
2024-07-03,12,236,131,7,29,0,0,331
2024-07-04,13,237,132,7,29,0,0,331
2024-07-05,10,232,130,5,28,1,0,331
2024-07-06,6,229,127,6,21,0,0,331
2024-07-07,15,234,126,6,27,0,1,330
2024-07-08,7,232,123,6,20,0,0,330
2024-07-09,15,238,124,6,37,0,0,330
2024-07-10,22,226,119,6,45,0,0,330
2024-07-11,11,224,117,6,23,0,0,331
2024-07-12,11,219,116,6,26,0,0,331
2024-07-13,4,213,112,6,16,0,0,331
2024-07-14,3,206,105,6,15,0,0,331
2024-07-15,9,196,103,6,22,0,0,331
2024-07-16,7,190,103,6,21,0,0,331
2024-07-17,4,180,99,4,17,0,0,331
