"Date","Hour","Active followers"
"23 de febrero","0","96"
"23 de febrero","1","60"
"23 de febrero","2","26"
"23 de febrero","3","15"
"23 de febrero","4","12"
"23 de febrero","5","9"
"23 de febrero","6","28"
"23 de febrero","7","65"
"23 de febrero","8","104"
"23 de febrero","9","122"
"23 de febrero","10","134"
"23 de febrero","11","144"
"23 de febrero","12","151"
"23 de febrero","13","159"
"23 de febrero","14","153"
"23 de febrero","15","159"
"23 de febrero","16","153"
"23 de febrero","17","153"
"23 de febrero","18","161"
"23 de febrero","19","150"
"23 de febrero","20","131"
"23 de febrero","21","152"
"23 de febrero","22","149"
"23 de febrero","23","141"
"24 de febrero","0","85"
"24 de febrero","1","50"
"24 de febrero","2","30"
"24 de febrero","3","21"
"24 de febrero","4","18"
"24 de febrero","5","17"
"24 de febrero","6","35"
"24 de febrero","7","59"
"24 de febrero","8","102"
"24 de febrero","9","118"
"24 de febrero","10","129"
"24 de febrero","11","135"
"24 de febrero","12","146"
"24 de febrero","13","144"
"24 de febrero","14","143"
"24 de febrero","15","145"
"24 de febrero","16","144"
"24 de febrero","17","133"
"24 de febrero","18","136"
"24 de febrero","19","149"
"24 de febrero","20","148"
"24 de febrero","21","166"
"24 de febrero","22","167"
"24 de febrero","23","132"
"25 de febrero","0","91"
"25 de febrero","1","43"
"25 de febrero","2","28"
"25 de febrero","3","12"
"25 de febrero","4","9"
"25 de febrero","5","31"
"25 de febrero","6","58"
"25 de febrero","7","69"
"25 de febrero","8","91"
"25 de febrero","9","98"
"25 de febrero","10","113"
"25 de febrero","11","109"
"25 de febrero","12","99"
"25 de febrero","13","104"
"25 de febrero","14","119"
"25 de febrero","15","129"
"25 de febrero","16","135"
"25 de febrero","17","119"
"25 de febrero","18","114"
"25 de febrero","19","114"
"25 de febrero","20","146"
"25 de febrero","21","151"
"25 de febrero","22","166"
"25 de febrero","23","137"
"26 de febrero","0","80"
"26 de febrero","1","37"
"26 de febrero","2","17"
"26 de febrero","3","12"
"26 de febrero","4","10"
"26 de febrero","5","36"
"26 de febrero","6","61"
"26 de febrero","7","77"
"26 de febrero","8","95"
"26 de febrero","9","100"
"26 de febrero","10","105"
"26 de febrero","11","111"
"26 de febrero","12","101"
"26 de febrero","13","114"
"26 de febrero","14","136"
"26 de febrero","15","122"
"26 de febrero","16","124"
"26 de febrero","17","113"
"26 de febrero","18","114"
"26 de febrero","19","127"
"26 de febrero","20","127"
"26 de febrero","21","142"
"26 de febrero","22","165"
"26 de febrero","23","131"
"27 de febrero","0","89"
"27 de febrero","1","46"
"27 de febrero","2","25"
"27 de febrero","3","13"
"27 de febrero","4","12"
"27 de febrero","5","27"
"27 de febrero","6","58"
"27 de febrero","7","68"
"27 de febrero","8","84"
"27 de febrero","9","114"
"27 de febrero","10","111"
"27 de febrero","11","121"
"27 de febrero","12","106"
"27 de febrero","13","122"
"27 de febrero","14","133"
"27 de febrero","15","123"
"27 de febrero","16","117"
"27 de febrero","17","116"
"27 de febrero","18","122"
"27 de febrero","19","113"
"27 de febrero","20","122"
"27 de febrero","21","119"
"27 de febrero","22","121"
"27 de febrero","23","122"
"28 de febrero","0","104"
"28 de febrero","1","73"
"28 de febrero","2","40"
"28 de febrero","3","29"
"28 de febrero","4","14"
"28 de febrero","5","14"
"28 de febrero","6","20"
"28 de febrero","7","43"
"28 de febrero","8","76"
"28 de febrero","9","109"
"28 de febrero","10","126"
"28 de febrero","11","125"
"28 de febrero","12","130"
"28 de febrero","13","122"
"28 de febrero","14","124"
"28 de febrero","15","117"
"28 de febrero","16","110"
"28 de febrero","17","102"
"28 de febrero","18","0"
"28 de febrero","19","0"
"28 de febrero","20","0"
"28 de febrero","21","0"
"28 de febrero","22","0"
"28 de febrero","23","0"
