fecha,views,profile_views,likes,comments,shares,viewers_total,viewers_new,viewers_returning,followers_total,followers_diff
2025-02-26,0,0,0,0,0,3,1,2,318,0
2025-02-27,7,0,0,0,0,0,0,0,318,0
2025-02-28,32,2,0,0,0,2,0,2,318,0
2025-03-01,5,0,0,0,0,4,2,2,318,0
2025-03-02,4,0,0,0,0,4,3,1,318,0
2025-03-03,2,0,0,0,0,2,1,1,318,0
2025-03-04,4,0,0,0,0,3,3,0,318,0
2025-03-05,12,1,0,0,0,4,4,0,318,0
2025-03-06,12,1,0,0,0,6,4,2,318,0
2025-03-07,0,0,0,0,0,1,1,0,318,0
2025-03-08,7,0,0,0,0,0,0,0,318,0
2025-03-09,1,0,0,0,0,2,0,2,318,0
2025-03-10,5,0,0,0,0,1,0,1,318,0
2025-03-11,2,0,0,0,0,2,2,0,318,0
2025-03-12,2,0,0,0,0,3,3,0,318,0
2025-03-13,19,3,0,0,0,1,1,0,318,0
2025-03-14,52,1,0,0,0,4,3,1,318,0
2025-03-15,14,1,0,0,0,4,3,1,318,0
2025-03-16,1,1,0,0,0,2,1,1,318,0
2025-03-17,21,3,0,0,0,3,2,1,318,0
2025-03-18,3,0,0,0,0,2,2,0,318,0
2025-03-19,8,0,0,0,0,5,4,1,318,0
2025-03-20,6,3,0,0,0,5,4,1,319,1
2025-03-21,1,0,0,0,0,2,1,1,318,-1
2025-03-22,11,1,0,0,1,2,2,0,318,0
2025-03-23,16,2,0,0,0,3,1,2,318,0
2025-03-24,67,1,0,0,0,3,1,2,318,0
2025-03-25,1,0,0,0,0,4,3,1,318,0
2025-03-26,4,0,0,0,0,2,1,1,318,0
2025-03-27,3,0,0,0,0,4,3,1,318,0
2025-03-28,51,0,0,0,0,2,0,2,318,0
2025-03-29,8,0,0,1,0,5,3,2,318,0
2025-03-30,24,2,0,0,0,3,1,2,318,0
2025-03-31,4,1,0,0,0,2,0,2,318,0
2025-04-01,2,0,0,0,0,4,3,1,318,0
2025-04-02,6,2,0,0,0,2,1,1,318,0
2025-04-03,5,0,0,0,0,4,2,2,318,0
2025-04-04,41,3,0,0,0,2,2,0,318,0
2025-04-05,6,1,0,0,0,2,2,0,318,0
2025-04-06,26,2,0,0,0,3,1,2,318,0
2025-04-07,3,0,0,0,0,2,1,1,318,0
2025-04-08,2,0,0,0,0,3,2,1,318,0
2025-04-09,3,0,0,0,0,2,2,0,318,0
2025-04-10,3,0,0,0,0,1,0,1,318,0
2025-04-11,8,1,0,0,0,4,2,2,318,0
2025-04-12,36,2,0,0,0,3,2,1,318,0
2025-04-13,2,0,0,0,0,5,4,1,318,0
2025-04-14,7,1,0,0,0,0,0,0,319,1
2025-04-15,3,0,0,0,0,2,1,1,319,0
2025-04-16,6,1,1,0,0,2,1,1,319,0
2025-04-17,0,0,0,0,0,3,3,0,319,0
2025-04-18,9,0,0,0,0,0,0,0,319,0
2025-04-19,18,4,0,0,0,2,2,0,319,0
2025-04-20,2,1,0,0,0,3,3,0,319,0
2025-04-21,63,4,1,0,0,1,1,0,318,-1
2025-04-22,2781,327,165,23,18,49,4,45,344,26
2025-04-23,1282,96,88,6,1,1628,1083,545,348,4
2025-04-24,1705,106,90,5,4,654,281,373,350,2
2025-04-25,671,39,29,5,0,1104,665,439,352,2
2025-04-26,538,22,36,1,0,398,216,182,352,0
2025-04-27,518,20,27,7,5,329,179,150,353,1
2025-04-28,1186,43,77,6,0,337,179,158,356,3
2025-04-29,356,20,6,0,0,793,555,238,356,0
2025-04-30,185,8,7,0,0,136,39,97,356,0
2025-05-01,212,14,8,1,2,109,41,68,357,1
2025-05-02,148,10,5,1,0,96,28,68,357,0
2025-05-03,134,10,3,0,0,79,38,41,357,0
2025-05-04,149,9,4,0,0,65,29,36,357,0
2025-05-05,1421,22,42,2,2,78,30,48,359,2
2025-05-06,166,3,5,0,0,1174,918,256,360,1
2025-05-07,819,28,30,5,0,123,83,40,359,-1
2025-05-08,169,15,11,0,0,635,434,201,360,1
2025-05-09,139,8,1,0,2,88,14,74,360,0
2025-05-10,61,4,2,0,0,41,6,35,360,0
2025-05-11,55,3,0,0,0,26,6,20,360,0
2025-05-12,149,12,2,0,0,30,10,20,360,0
2025-05-13,50,7,1,0,0,45,18,27,360,0
2025-05-14,57,0,0,0,0,34,12,22,360,0
2025-05-15,28,1,0,0,0,27,8,19,360,0
2025-05-16,18,2,0,0,0,11,4,7,360,0
2025-05-17,37,5,2,0,0,12,5,7,360,0
2025-05-18,42,4,1,0,0,25,8,17,360,0
2025-05-19,40,4,1,0,0,33,17,16,360,0
2025-05-20,39,2,0,0,0,18,7,11,360,0
2025-05-21,24,4,0,0,0,18,6,12,360,0
2025-05-22,30,0,0,0,0,18,5,13,360,0
2025-05-23,33,1,1,0,0,16,6,10,360,0
2025-05-24,24,1,2,0,0,19,5,14,360,0
2025-05-25,26,2,5,0,0,20,7,13,360,0
2025-05-26,23,4,1,0,0,13,3,10,360,0
2025-05-27,21,1,1,0,0,19,5,14,360,0
2025-05-28,23,3,0,0,0,15,2,13,360,0
2025-05-29,17,1,1,0,0,16,4,12,360,0
2025-05-30,57,2,2,0,0,12,4,8,360,0
2025-05-31,22,2,0,0,0,16,2,14,360,0
2025-06-01,14,3,1,0,0,17,2,15,360,0
2025-06-02,40,2,3,0,0,8,0,8,360,0
2025-06-03,44,4,0,0,0,13,1,12,360,0
2025-06-04,107,7,0,0,0,10,1,9,359,-1
2025-06-05,29,1,3,0,0,20,0,20,359,0
2025-06-06,26,0,0,0,0,14,2,12,359,0
2025-06-07,24,1,0,0,0,20,8,12,358,-1
2025-06-08,75,7,0,0,1,17,2,15,357,-1
2025-06-09,31,3,1,0,0,25,2,23,356,-1
2025-06-10,18,1,0,0,0,15,6,9,356,0
2025-06-11,33,4,0,0,0,11,3,8,356,0
2025-06-12,37,3,1,0,0,12,3,9,356,0
2025-06-13,26,5,0,0,0,16,2,14,356,0
2025-06-14,11,0,0,0,0,11,3,8,356,0
2025-06-15,21,6,0,0,0,7,2,5,356,0
2025-06-16,12,2,0,0,0,11,3,8,356,0
2025-06-17,28,1,0,0,0,9,2,7,356,0
2025-06-18,23,3,0,0,0,10,2,8,356,0
2025-06-19,17,1,0,0,0,11,1,10,356,0
2025-06-20,9,2,0,0,0,9,3,6,356,0
2025-06-21,36,0,0,0,0,6,0,6,356,0
2025-06-22,25,1,0,-1,0,15,6,9,356,0
2025-06-23,13,0,0,0,0,5,1,4,357,1
2025-06-24,18,6,2,0,0,8,0,8,357,0
2025-06-25,57,2,0,0,0,16,4,12,357,0
2025-06-26,15,5,0,0,0,20,4,16,357,0
2025-06-27,23,1,0,0,0,7,1,6,357,0
2025-06-28,27,3,0,0,0,6,3,3,357,0
2025-06-29,22,1,0,0,0,15,5,10,357,0
2025-06-30,25,4,0,0,0,11,3,8,357,0
